cm.DESPC,cm.DESSC,cm.DESWC,cm.DESPL,cm.DESPLd,cm.DESSL,cm.DESSLd,cm.DESWLsy,cm.DESWLsyd,cm.DESWLlt,cm.DESWLltd,cm.CRFNO1,cm.CRFAO1,cm.CRFSO1,cm.CRFNOa,cm.CRFAOa,cm.CRFSOa,cm.CRFCWO1,cm.CRFCWO1d,cm.CRFCWOa,cm.CRFCWOad,cm.CRFANP1,cm.CRFANPa,cm.LSASS1,cm.LSASS1d,cm.LSASSp,cm.LSASSpd,cm.LSAPP1,cm.LSAPP1d,cm.LSAGN,cm.LSAGNd,cm.LDTTRc,cm.LDTTRa,cm.LDMTLDa,cm.LDVOCDa,cm.CNCAll,cm.CNCCaus,cm.CNCLogic,cm.CNCADC,cm.CNCTemp,cm.CNCAdd,cm.CNCPos,cm.CNCNeg,cm.CNCAlter,cm.CNCConclu,cm.CNCExpli,cm.CNCConce,cm.CNCCondi,cm.CNCConfor,cm.CNCFinal,cm.CNCProp,cm.CNCComp,cm.CNCConse,cm.CNCInte,cm.SMCAUSv,cm.SMCAUSvp,cm.SMCAUSr,cm.SMCAUSlsa,cm.SMCAUSwn,cm.SYNLE,cm.SYNMEDpos,cm.SYNMEDwrd,cm.SYNMEDlem,cm.SYNSTRUTa,cm.SYNSTRUTt,cm.DRNP,cm.DRVP,cm.DRAP,cm.DRPP,cm.DRPVAL,cm.DRNEG,cm.DRGERUND,cm.DRINF,cm.WRDNOUN,cm.WRDVERB,cm.WRDADJ,cm.WRDADV,cm.WRDPRO,cm.WRDPRP1s,cm.WRDPRP1p,cm.WRDPRP2,cm.WRDPRP3s,cm.WRDPRP3p,cm.WRDFRQc,cm.WRDFRQa,cm.WRDFRQmc,cm.WRDAOAc,cm.WRDFAMc,cm.WRDCNCc,cm.WRDIMGc,cm.WRDMEAc,cm.RDFRE,cm.RDFKGL,cm.RDL2,liwc.funct,liwc.pronoun,liwc.ppron,liwc.i,liwc.we,liwc.you,liwc.shehe,liwc.they,liwc.ipron,liwc.article,liwc.verb,liwc.auxverb,liwc.past,liwc.present,liwc.future,liwc.adverb,liwc.preps,liwc.conj,liwc.negate,liwc.quant,liwc.number,liwc.swear,liwc.social,liwc.family,liwc.friend,liwc.humans,liwc.affect,liwc.posemo,liwc.negemo,liwc.anx,liwc.anger,liwc.sad,liwc.cogmech,liwc.insight,liwc.cause,liwc.discrep,liwc.tentat,liwc.certain,liwc.inhib,liwc.incl,liwc.excl,liwc.percept,liwc.see,liwc.hear,liwc.feel,liwc.bio,liwc.body,liwc.health,liwc.sexual,liwc.ingest,liwc.relativ,liwc.motion,liwc.space,liwc.time,liwc.work,liwc.achieve,liwc.leisure,liwc.home,liwc.money,liwc.relig,liwc.death,liwc.assent,liwc.nonfl,liwc.filler, add.greeting, add.compliment, add.ners
11,4,3,0,0,3,1,2,2,2,5,1,3,1,0,0,5,2,0,0,0,1,5,0,1,1,2,1,1,0,1,0,10,2,0,1,1,1,2,4,1,3,1,1,1,3,2,1,0,1,1,2,3,2,2,1,1,0,1,0,0,0,1,1,1,2,22,2.0,0.0,10.0,2.0,1.7727272727272727,0.9223065383316713,4.55,2.5194245374688244,0,0,-1,0,0,-1,0.05,0.0,0.05,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.95,111.99999999999991,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,-1,0.8888888888888888,1.0,1.0,0,0,0,2,0,0,0,0,0,3,4,5,1,1,0,0,0,0,0,0,6.62476861138174,1.8908154446784504,6.62476861138174,269.0,588.5,296.9,325.1,325.9,40.17500000000001,10.140000000000004,104.68248701573155,0,0,1
7,3,3,0,1,2,1,1,1,2,1,1,0,0,0,2,3,2,0,0,0,0,4,0,0,0,2,1,0,0,0,0,7,1,1,0,1,2,1,2,0,1,0,0,1,1,0,1,0,1,3,1,3,0,3,1,1,0,1,0,0,0,2,0,1,1,19,1.0,0.0,15.0,0.0,1.736842105263158,0.9334586382051248,5.0,2.581988897471611,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,2,0,2,1,0,0,0,0,0,6.620589894946591,1.8901844739770095,6.147690616736121,403.0,589.2857142857143,315.42857142857144,348.7142857142857,330.0,35.5107142857143,11.784285714285716,0,0,1,2
9,3,1,0,0,1,1,0,3,1,2,0,0,3,0,0,5,1,0,1,0,1,3,0,0,0,1,1,1,0,0,1,7,2,1,1,0,0,4,2,0,2,0,0,1,2,1,0,0,1,3,0,3,3,1,0,2,0,0,0,0,0,0,0,1,1,18,1.0,0.0,17.0,0.0,1.9444444444444444,0.9375953110592338,5.294117647058823,2.491508068770279,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.8823529411764706,40.459999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,1,0,0,0,0,0,0,6.285798444542583,1.838292873677819,6.285798444542583,496.3333333333333,556.0,356.14285714285717,336.57142857142856,336.25,20.380000000000024,14.64,0,0,0,0
8,2,2,0,1,1,1,0,1,1,3,1,1,2,0,0,5,3,0,2,0,1,4,0,0,1,1,0,1,1,0,0,9,0,1,0,1,0,1,4,0,1,1,0,0,2,0,1,0,0,5,3,3,1,3,2,1,0,1,0,0,0,0,0,1,2,24,2.0,0.0,10.5,0.5,1.9166666666666667,1.1000658741803746,5.190476190476191,2.7188766521181327,0,0,-1,0,0,-1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.9333333333333333,0.9523809523809523,123.47999999999988,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,-1,0.8333333333333334,0.9166666666666666,0.9166666666666666,0,0,0,2,0,0,0,0,0,5,3,7,1,4,0,0,0,0,0,0,6.637259034600082,1.8926990822706584,6.305396082870078,375.0,588.6666666666666,303.0,323.44444444444446,346.0,27.485000000000014,11.91,94.97932002013006,0,0,1
10,4,2,0,0,2,1,1,3,1,2,0,0,1,0,1,5,2,0,1,0,0,5,0,0,0,1,1,0,0,0,0,7,1,2,0,0,0,0,3,0,2,1,1,0,3,1,0,0,2,3,1,3,3,3,2,1,0,0,0,0,1,0,0,1,1,22,1.0,0.0,20.0,0.0,1.8636363636363635,0.9902118361842988,4.65,2.43464576478797,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,2,4,0,0,0,0,0,0,6.629662874663305,1.8915539544378708,6.629662874663305,269.0,585.2,321.0,338.8,356.1,21.565000000000026,15.220000000000002,0,0,0,0
10,1,1,0,0,1,0,1,0,1,4,2,2,1,0,2,4,2,0,0,0,0,2,0,0,1,3,2,0,0,0,0,11,2,1,0,1,1,3,5,0,0,1,0,0,1,1,1,0,0,2,2,1,1,1,0,0,0,1,0,0,0,1,0,1,1,21,1.0,0.0,19.0,0.0,1.8095238095238095,0.9807674351775563,4.526315789473684,2.4141778823536244,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.9473684210526315,101.07999999999991,0.0,2.0,0.0,2.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1,0,0,0,0,0,1,0,0,0,0,0,0,2,6,3,0,2,0,0,0,0,0,0,6.6316415776771676,1.891852371993347,6.282607810431,322.0,582.2,324.2,347.9,339.3333333333333,27.255263157894774,14.177894736842106,0,0,1,1
2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,3,9,3.0,0.0,2.3333333333333335,0.9428090415820634,2.2222222222222223,1.2018504251546631,6.571428571428571,2.0603150145508513,0,0,-1,0,0,-1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,0.75,1.0,1.0,0.49279927982674443,0.49279927982674443,2,1,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,6.50864304544673,1.8731309929338746,5.578836896097197,0,550.0,467.0,522.0,418.0,-13.076190476190476,15.662857142857145,109.05762592689665,0,2,1
16,5,3,0,0,3,2,1,4,2,5,1,1,3,0,0,3,4,0,3,1,1,4,0,1,3,2,1,1,0,1,0,13,2,0,1,1,1,2,5,0,2,2,1,0,4,2,2,0,1,1,1,2,3,3,2,1,0,1,0,0,0,0,0,1,4,34,4.0,0.0,7.25,1.479019945774904,1.911764705882353,0.995981229554889,4.758620689655173,2.458695651031157,0,0,-1,0,0,-1,0.020833333333333332,0.02946278254943948,0.024305555555555552,0.03489540146222531,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.9333333333333333,0.9285714285714286,109.76000000000008,0.0,2.0,1.0,3.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,4.0,-1,0.8703703703703703,1.0,1.0,0.6692036699610225,0.6692036699610225,1,3,0,0,0,0,0,2,8,5,2,0,3,0,0,1,0,0,6.617825264239457,1.8897668060440915,6.389624393058786,376.6666666666667,573.5833333333334,354.6666666666667,370.5833333333333,366.1,24.441767241379324,11.651293103448278,138.9639348385008,0,0,1
10,4,2,0,0,2,1,1,3,1,2,0,0,1,0,1,5,2,0,1,0,0,5,0,0,0,1,1,0,0,0,0,7,1,2,0,0,0,0,3,0,2,1,1,0,3,1,0,0,2,3,1,3,3,3,2,1,0,0,0,0,1,0,0,1,1,22,1.0,0.0,20.0,0.0,1.8636363636363635,0.9902118361842988,4.65,2.43464576478797,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,4,2,4,0,0,0,0,0,0,6.629662874663305,1.8915539544378708,6.629662874663305,269.0,585.2,321.0,338.8,356.1,21.565000000000026,15.220000000000002,0,0,0,0
7,3,3,0,1,2,1,1,1,2,1,1,0,0,0,2,3,2,0,0,0,0,4,0,0,0,2,1,0,0,0,0,7,1,1,0,1,2,1,2,0,1,0,0,1,1,0,1,0,1,3,1,3,0,3,1,1,0,1,0,0,0,2,0,1,1,19,1.0,0.0,15.0,0.0,1.736842105263158,0.9334586382051248,5.0,2.581988897471611,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,2,0,2,1,0,0,0,0,0,6.620589894946591,1.8901844739770095,6.147690616736121,403.0,589.2857142857143,315.42857142857144,348.7142857142857,330.0,35.5107142857143,11.784285714285716,0,0,1,2
